cable_type,inom,count,r,x,c,r0,x0,c0
807 GPLK 8/10kV-3x16.0Cu,82,0.0947682086854575,1.15854,0.10742,0.20584,7.29693,0.17058,0.10247
821 GPLK 8/10kV-3x35.0Cu,135,0.105625030530995,0.53253,0.09777,0.27072,4.95065,0.15362,0.1358
852 GPLK 8/10kV-3x95.0Al,185,0.320453324214743,0.32829,0.08671,0.38397,3.01816,0.13441,0.19448
862 GPLK 8/10kV-3x150.0Al,240,0.194909872502565,0.20858,0.08208,0.45053,2.40675,0.12644,0.22921
859 GPLK 8/10kV-3x120.0Cu,275,0.082531385862928,0.15667,0.08431,0.41669,2.68819,0.13027,0.21153
882 GPLK 8/10kV-3x240.0Al,320,0.149894973376972,0.13079,0.07757,0.53109,1.90664,0.11873,0.27143
882 GPLK 8/10kV-3x240.0Al,355,0.0392628596551219,0.13079,0.07757,0.53109,1.90664,0.11873,0.27143
9590 YMeKrvaslqwd 6/10kV-1x240.0Alrm+as3,445,0.0068511552928533,0.13517,0.10823,0.43553,0.70962,0.05052,0.43553
9592 YMeKrvaslqwd 6/10kV-1x630.0Alrm+as3,575,0.00522690635533193,0.0511,0.09272,0.64103,0.44159,0.03948,0.64103
9592 YMeKrvaslqwd 6/10kV-1x630.0Alrm+as3,700,0.000476283523032583,0.0511,0.09272,0.64103,0.44159,0.03948,0.64103
